"Var1" "Var2"
"1" 0.4 0.1
"2" 0.45 0.1
"3" 0.5 0.1
"4" 0.55 0.1
"5" 0.6 0.1
"6" 0.65 0.1
"7" 0.7 0.1
"8" 0.75 0.1
"9" 0.8 0.1
"10" 0.85 0.1
"11" 0.9 0.1
"12" 0.95 0.1
"13" 1 0.1
"14" 0.25 0.15
"15" 0.3 0.15
"16" 0.35 0.15
"17" 0.4 0.15
"18" 0.45 0.15
"19" 0.5 0.15
"20" 0.55 0.15
"21" 0.6 0.15
"22" 0.65 0.15
"23" 0.7 0.15
"24" 0.75 0.15
"25" 0.8 0.15
"26" 0.85 0.15
"27" 0.9 0.15
"28" 0.95 0.15
"29" 1 0.15
"30" 0.15 0.2
"31" 0.2 0.2
"32" 0.25 0.2
"33" 0.3 0.2
"34" 0.35 0.2
"35" 0.4 0.2
"36" 0.45 0.2
"37" 0.5 0.2
"38" 0.55 0.2
"39" 0.6 0.2
"40" 0.65 0.2
"41" 0.7 0.2
"42" 0.75 0.2
"43" 0.8 0.2
"44" 0.85 0.2
"45" 0.9 0.2
"46" 0.95 0.2
"47" 1 0.2
"48" 0.1 0.25
"49" 0.15 0.25
"50" 0.2 0.25
"51" 0.25 0.25
"52" 0.3 0.25
"53" 0.35 0.25
"54" 0.4 0.25
"55" 0.45 0.25
"56" 0.5 0.25
"57" 0.55 0.25
"58" 0.6 0.25
"59" 0.65 0.25
"60" 0.7 0.25
"61" 0.75 0.25
"62" 0.8 0.25
"63" 0.85 0.25
"64" 0.9 0.25
"65" 0.95 0.25
"66" 1 0.25
"67" 0.1 0.3
"68" 0.15 0.3
"69" 0.2 0.3
"70" 0.25 0.3
"71" 0.3 0.3
"72" 0.35 0.3
"73" 0.4 0.3
"74" 0.45 0.3
"75" 0.5 0.3
"76" 0.55 0.3
"77" 0.6 0.3
"78" 0.65 0.3
"79" 0.7 0.3
"80" 0.75 0.3
"81" 0.8 0.3
"82" 0.85 0.3
"83" 0.9 0.3
"84" 0.95 0.3
"85" 1 0.3
"86" 0.05 0.35
"87" 0.1 0.35
"88" 0.15 0.35
"89" 0.2 0.35
"90" 0.25 0.35
"91" 0.3 0.35
"92" 0.35 0.35
"93" 0.4 0.35
"94" 0.45 0.35
"95" 0.5 0.35
"96" 0.55 0.35
"97" 0.6 0.35
"98" 0.65 0.35
"99" 0.7 0.35
"100" 0.75 0.35
"101" 0.8 0.35
"102" 0.85 0.35
"103" 0.9 0.35
"104" 0.95 0.35
"105" 1 0.35
"106" 0.05 0.4
"107" 0.1 0.4
"108" 0.15 0.4
"109" 0.2 0.4
"110" 0.25 0.4
"111" 0.3 0.4
"112" 0.35 0.4
"113" 0.4 0.4
"114" 0.45 0.4
"115" 0.5 0.4
"116" 0.55 0.4
"117" 0.6 0.4
"118" 0.65 0.4
"119" 0.7 0.4
"120" 0.75 0.4
"121" 0.8 0.4
"122" 0.85 0.4
"123" 0.9 0.4
"124" 0.95 0.4
"125" 1 0.4
"126" 0.05 0.45
"127" 0.1 0.45
"128" 0.15 0.45
"129" 0.2 0.45
"130" 0.25 0.45
"131" 0.3 0.45
"132" 0.35 0.45
"133" 0.4 0.45
"134" 0.45 0.45
"135" 0.5 0.45
"136" 0.55 0.45
"137" 0.6 0.45
"138" 0.65 0.45
"139" 0.7 0.45
"140" 0.75 0.45
"141" 0.8 0.45
"142" 0.85 0.45
"143" 0.9 0.45
"144" 0.95 0.45
"145" 1 0.45
"146" 0 0.5
"147" 0.05 0.5
"148" 0.1 0.5
"149" 0.15 0.5
"150" 0.2 0.5
"151" 0.25 0.5
"152" 0.3 0.5
"153" 0.35 0.5
"154" 0.05 0.55
"155" 0.1 0.55
"156" 0.15 0.55
"157" 0.2 0.55
"158" 0.25 0.55
"159" 0.3 0.55
"160" 0.35 0.55
"161" 0.4 0.55
"162" 0.45 0.55
"163" 0.5 0.55
"164" 0.55 0.55
"165" 0.6 0.55
"166" 0.65 0.55
"167" 0.7 0.55
"168" 0.75 0.55
"169" 0.8 0.55
"170" 0.85 0.55
"171" 0.9 0.55
"172" 0.95 0.55
"173" 1 0.55
"174" 0.05 0.6
"175" 0.1 0.6
"176" 0.15 0.6
"177" 0.2 0.6
"178" 0.25 0.6
"179" 0.3 0.6
"180" 0.35 0.6
"181" 0.4 0.6
"182" 0.45 0.6
"183" 0.5 0.6
"184" 0.55 0.6
"185" 0.6 0.6
"186" 0.65 0.6
"187" 0.7 0.6
"188" 0.75 0.6
"189" 0.8 0.6
"190" 0.85 0.6
"191" 0.9 0.6
"192" 0.95 0.6
"193" 1 0.6
"194" 0.05 0.65
"195" 0.1 0.65
"196" 0.15 0.65
"197" 0.2 0.65
"198" 0.25 0.65
"199" 0.3 0.65
"200" 0.35 0.65
"201" 0.4 0.65
"202" 0.45 0.65
"203" 0.5 0.65
"204" 0.55 0.65
"205" 0.6 0.65
"206" 0.65 0.65
"207" 0.7 0.65
"208" 0.75 0.65
"209" 0.8 0.65
"210" 0.85 0.65
"211" 0.9 0.65
"212" 0.95 0.65
"213" 1 0.65
"214" 0.1 0.7
"215" 0.15 0.7
"216" 0.2 0.7
"217" 0.25 0.7
"218" 0.3 0.7
"219" 0.35 0.7
"220" 0.4 0.7
"221" 0.45 0.7
"222" 0.5 0.7
"223" 0.55 0.7
"224" 0.6 0.7
"225" 0.65 0.7
"226" 0.7 0.7
"227" 0.75 0.7
"228" 0.8 0.7
"229" 0.85 0.7
"230" 0.9 0.7
"231" 0.95 0.7
"232" 1 0.7
"233" 0.1 0.75
"234" 0.15 0.75
"235" 0.2 0.75
"236" 0.25 0.75
"237" 0.3 0.75
"238" 0.35 0.75
"239" 0.4 0.75
"240" 0.45 0.75
"241" 0.5 0.75
"242" 0.55 0.75
"243" 0.6 0.75
"244" 0.65 0.75
"245" 0.7 0.75
"246" 0.75 0.75
"247" 0.8 0.75
"248" 0.85 0.75
"249" 0.9 0.75
"250" 0.95 0.75
"251" 1 0.75
"252" 0.15 0.8
"253" 0.2 0.8
"254" 0.25 0.8
"255" 0.3 0.8
"256" 0.35 0.8
"257" 0.4 0.8
"258" 0.45 0.8
"259" 0.5 0.8
"260" 0.55 0.8
"261" 0.6 0.8
"262" 0.65 0.8
"263" 0.7 0.8
"264" 0.75 0.8
"265" 0.8 0.8
"266" 0.85 0.8
"267" 0.9 0.8
