"Var1" "Var2" "Var3"
"1" 0 0.1 0
"2" 0.05 0.1 0
"3" 0.1 0.1 0
"4" 0.15 0.1 0
"5" 0.2 0.1 0
"6" 0.8 0.1 0
"7" 0.85 0.1 0
"8" 0.9 0.1 0
"9" 0.95 0.1 0
"10" 1 0.1 0
"11" 0 0.2 0
"12" 0.05 0.2 0
"13" 0.1 0.2 0
"14" 0.15 0.2 0
"15" 0.2 0.2 0
"16" 0.25 0.2 0
"17" 0.3 0.2 0
"18" 0.35 0.2 0
"19" 0.65 0.2 0
"20" 0.7 0.2 0
"21" 0.75 0.2 0
"22" 0.8 0.2 0
"23" 0.85 0.2 0
"24" 0.9 0.2 0
"25" 0.95 0.2 0
"26" 1 0.2 0
"27" 0 0.3 0
"28" 0.05 0.3 0
"29" 0.1 0.3 0
"30" 0.15 0.3 0
"31" 0.2 0.3 0
"32" 0.25 0.3 0
"33" 0.3 0.3 0
"34" 0.35 0.3 0
"35" 0.4 0.3 0
"36" 0.6 0.3 0
"37" 0.65 0.3 0
"38" 0.7 0.3 0
"39" 0.75 0.3 0
"40" 0.8 0.3 0
"41" 0.85 0.3 0
"42" 0.9 0.3 0
"43" 0.95 0.3 0
"44" 1 0.3 0
"45" 0 0.4 0
"46" 0.05 0.4 0
"47" 0.1 0.4 0
"48" 0.15 0.4 0
"49" 0.2 0.4 0
"50" 0.25 0.4 0
"51" 0.3 0.4 0
"52" 0.35 0.4 0
"53" 0.4 0.4 0
"54" 0.6 0.4 0
"55" 0.65 0.4 0
"56" 0.7 0.4 0
"57" 0.75 0.4 0
"58" 0.8 0.4 0
"59" 0.85 0.4 0
"60" 0.9 0.4 0
"61" 0.95 0.4 0
"62" 1 0.4 0
"63" 0.3 0.5 0
"64" 0.35 0.5 0
"65" 0.4 0.5 0
"66" 0.6 0.5 0
"67" 0.65 0.5 0
"68" 0.7 0.5 0
"69" 0 0.6 0
"70" 0.05 0.6 0
"71" 0.1 0.6 0
"72" 0.15 0.6 0
"73" 0.2 0.6 0
"74" 0.25 0.6 0
"75" 0.3 0.6 0
"76" 0.35 0.6 0
"77" 0.4 0.6 0
"78" 0.6 0.6 0
"79" 0.65 0.6 0
"80" 0.7 0.6 0
"81" 0.75 0.6 0
"82" 0.8 0.6 0
"83" 0.85 0.6 0
"84" 0.9 0.6 0
"85" 0.95 0.6 0
"86" 1 0.6 0
"87" 0 0.7 0
"88" 0.05 0.7 0
"89" 0.1 0.7 0
"90" 0.15 0.7 0
"91" 0.2 0.7 0
"92" 0.25 0.7 0
"93" 0.3 0.7 0
