"V1" "V2" "V3" "V4"
"1" -0.000365675686689691 -4.52579236370706e-05 -0.000133805286691135 -1.76900383704754e-05
"2" -0.000351121817145442 -4.28075846353391e-05 -0.000122984705339917 -1.62371129084e-05
"3" -0.000336370770025896 -3.94097619965019e-05 -0.000116557525199269 -1.34274954801465e-05
"4" -0.000327936185106149 -3.78120703676403e-05 -0.0001106446088024 -1.23198174917631e-05
"5" -0.000327699319006052 -3.87998965350941e-05 -0.000104743645073694 -1.38320178976755e-05
"6" -0.000333297831644401 -4.16726717420302e-05 -9.75706657662537e-05 -1.70278526027772e-05
"7" -0.000336359305743681 -4.38407494622993e-05 -8.89760112963391e-05 -1.96319848755526e-05
"8" -0.000338465252212537 -4.5457003155008e-05 -8.11970284005545e-05 -2.15549805129914e-05
"9" -0.000331046866038946 -4.52432142956623e-05 -6.59379361050575e-05 -2.21692461213261e-05
"10" -0.000324774159956028 -4.51906082259294e-05 -5.28138013282845e-05 -2.27388247220936e-05
"11" -0.000309889978527861 -4.22877126403638e-05 -4.15769072550592e-05 -2.06173076144889e-05
"12" -0.000309581164093114 -4.36438519214164e-05 -2.89710429845852e-05 -2.22409340787541e-05
"13" -0.000305573186115602 -4.63563067816194e-05 -1.22179847265379e-05 -2.32763675381476e-05
"14" -0.000299930970020964 -4.7296029700505e-05 1.25273114690267e-06 -2.33575107435423e-05
"15" -0.000288862108200911 -4.78143352597458e-05 1.82802471464158e-05 -2.21316746302955e-05
"16" -0.000283290009778379 -5.15648757676676e-05 3.29997713556515e-05 -2.18766066393769e-05
"17" -0.000275553509654453 -5.4921887278734e-05 4.38351270174239e-05 -2.11654388140572e-05
"18" -0.000267013378917617 -6.189717513797e-05 5.69561295336129e-05 -1.96381060311368e-05
"19" -0.000264531857988801 -6.90185712145668e-05 7.34843778365251e-05 -2.10842694634169e-05
"20" -0.000262451638834425 -7.90146807091013e-05 9.0446674235501e-05 -2.41816946895494e-05
"21" -0.000268402389277517 -8.51770470685354e-05 0.000102390793613316 -2.64697733848927e-05
"22" -0.000271879290206374 -9.27628342013678e-05 0.000113645033500378 -2.8840455383137e-05
"23" -0.000273505411176747 -9.79412354687407e-05 0.000121758657609675 -3.15876802994101e-05
"24" -0.000275322561579821 -0.00010181179826119 0.000128297471173588 -3.2755180981851e-05
"25" -0.000277753745709514 -0.000107276389213577 0.000137793532134383 -3.48689752883126e-05
"26" -0.000277133112293066 -0.00011217653631207 0.000147684693178695 -3.95233377942522e-05
"27" -0.000275844472697415 -0.000116021877864794 0.000154200398091165 -4.24278910006581e-05
"28" -0.000275217647532257 -0.000119552251639508 0.000167147044748403 -4.69163744089223e-05
"29" -0.00027266532867346 -0.000118659416972285 0.00017692887072186 -4.70611312021867e-05
"30" -0.000268743171718342 -0.000116452795090648 0.000185542862443714 -4.46569441516784e-05
"31" -0.000264324981516613 -0.000112681749524218 0.000186765757979973 -4.23482169251511e-05
"32" -0.000262237312753558 -0.000111597112231203 0.000186927308399825 -4.13060208012103e-05
"33" -0.000257848627402528 -0.000109489356250098 0.00018527727921307 -3.92332315313588e-05
"34" -0.000257962743360337 -0.000109462752087526 0.000185535059516888 -3.90905393558997e-05
"35" -0.000261455953319515 -0.00011156401672668 0.000192225599400059 -4.02113714507196e-05
"36" -0.000268322237802756 -0.000114497878399351 0.000204394454568902 -4.24722736205239e-05
"37" -0.000274267046096865 -0.000117047784731719 0.000214881134716319 -4.44310038105149e-05
"38" -0.000278093072611665 -0.000119302237750753 0.000222115532242958 -4.56251724708914e-05
"39" -0.000278951350778403 -0.000120641893673535 0.000223316404915938 -4.61895817404349e-05
"40" -0.0002721235981386 -0.000117423360717804 0.000210944899190557 -4.39111265542465e-05
"41" -0.000263938568706947 -0.000113606703572399 0.000196296386704969 -4.12527449385661e-05
"42" -0.00025505495293542 -0.000109472565294559 0.000180435051405916 -3.83817186045026e-05
"43" -0.000243300713691433 -0.000103998478024879 0.00015942628167247 -3.45757935130627e-05
"44" -0.000233278631711901 -9.77919466422823e-05 0.000141205253203274 -3.08586873627686e-05
"45" -0.000224966678352404 -9.53740698784917e-05 0.000126337299995225 -2.84877891584765e-05
"46" -0.000216242134206465 -8.95999983656857e-05 0.000115373842456376 -2.45305488387125e-05
"47" -0.000203601537579815 -8.58036864357067e-05 0.000109125953039418 -2.31836301417019e-05
"48" -0.00018846770997608 -8.51306989420947e-05 0.000111318747697717 -2.39323098160271e-05
"49" -0.000170998697871838 -8.35098581408671e-05 0.000108333159561226 -2.14085141573645e-05
"50" -0.000156135941090254 -8.32180054380828e-05 0.00010979622195986 -2.28821131501798e-05
"51" -0.000125397790118556 -8.09615904228207e-05 0.000108376017573174 -2.59230587634588e-05
"52" -9.58003573457217e-05 -7.65233854025854e-05 0.000101724076038458 -2.80971832777155e-05
"53" -8.15136107529856e-05 -7.27889913862107e-05 9.66291358553038e-05 -2.79137762014565e-05
"54" -6.67981288058622e-05 -6.7714047859458e-05 8.89782595814172e-05 -2.76611541431277e-05
"55" -4.48117946627971e-05 -5.85564832816701e-05 7.52146507933217e-05 -2.69260696625479e-05
"56" -2.95547562152834e-05 -5.1549419846091e-05 6.745293677382e-05 -2.58391559397782e-05
"57" -1.79781732242465e-05 -4.97008680468868e-05 6.73593657011006e-05 -2.8434007589654e-05
"58" 4.73964751318517e-06 -4.0871182982726e-05 5.70247072527443e-05 -2.9837954392983e-05
"59" 2.89418688804067e-05 -3.12293099917904e-05 4.5067498706524e-05 -2.87254227286556e-05
"60" 4.7385854586127e-05 -2.49700707102185e-05 3.89759586163558e-05 -3.10770347530512e-05
"61" 6.49041565861483e-05 -1.56819917923798e-05 3.04323957855887e-05 -2.99962939861424e-05
"62" 6.98852107051182e-05 -1.33981877115133e-05 2.88305112780768e-05 -3.05117982384082e-05
"63" 8.06813144175153e-05 -6.03992159554959e-06 1.91272470200101e-05 -2.52576614903933e-05
"64" 9.35855258398139e-05 2.5354237479681e-06 7.54079858841931e-06 -1.9454532554486e-05
"65" 0.000105724889331442 1.91951282665333e-05 3.32704231588548e-06 -2.29346399783389e-05
"66" 0.00011121359048056 1.78903595040716e-05 5.26498909566352e-06 -2.52475956807576e-05
"67" 0.000116901367571199 4.45128173760508e-06 5.91443908866258e-06 -2.71218904615757e-05
"68" 0.00013347338877959 -7.39315842412554e-06 2.40699723308249e-06 -2.44903366856525e-05
"69" 0.000148325843979602 -1.54896668558161e-05 2.35728945376249e-07 -2.07651243632074e-05
"70" 0.000182154521371683 -3.33923438473164e-05 -4.62787903831037e-06 -1.11947244431791e-05
"71" 0.000202312579733425 -4.4090637048714e-05 -7.4951573884933e-06 -5.66829444557367e-06
"72" 0.000218873068435093 -5.28621666673261e-05 -9.84248243384875e-06 -1.04819898714734e-06
"73" 0.000229790637684958 -5.84201773135221e-05 -1.12106457300371e-05 1.82765737483942e-06
"74" 0.00025429041813637 -7.14625782980209e-05 -1.47350589773009e-05 8.6961618660298e-06
"75" 0.000265874555189778 -7.76838665830072e-05 -1.64427572342004e-05 1.19512361848087e-05
"76" 0.000281498016947551 -8.58735913816347e-05 -1.85889334205656e-05 1.62402878939466e-05
"77" 0.000285118734995776 -8.77238771498933e-05 -1.90481245042105e-05 1.7196855976351e-05
"78" 0.000285982797564432 -8.77951286656488e-05 -1.88526804822921e-05 1.70046387142294e-05
"79" 0.000296186100822939 -9.28754854695683e-05 -2.00339197272684e-05 1.95089699947988e-05
"80" 0.000309130086613446 -9.95173989083405e-05 -2.16960695786411e-05 2.29318296296625e-05
"81" 0.000323825423710362 -0.000107214010391732 -2.37113944433536e-05 2.69907751216616e-05
"82" 0.000333208535466397 -0.000112177457305358 -2.50400742856041e-05 2.96615724057623e-05
"83" 0.000336538806543937 -0.000113941353083347 -2.55130292386186e-05 3.06041083409367e-05
"84" 0.000354782787051343 -0.000124235644889436 -2.86115482011372e-05 3.6287648168894e-05
"85" 0.000363208951992461 -0.000128906474596828 -2.99633139025341e-05 3.86514899310126e-05
"86" 0.000357910597090102 -0.000126186317777589 -2.92756682523175e-05 3.71512380921965e-05
"87" 0.000350480113245693 -0.000122341179458947 -2.82889160267451e-05 3.50515395427756e-05
"88" 0.000337304488085325 -0.000115424883812735 -2.64679369358114e-05 3.13745423891375e-05
"89" 0.000331237115364833 -0.000112229040701229 -2.56208862058517e-05 2.96769376831059e-05
"90" 0.000338612895144836 -0.000116033326456419 -2.65630070669611e-05 3.1314045808047e-05
"91" 0.000335953883019013 -0.00011447372070736 -2.60428118533664e-05 3.00847546372239e-05
"92" 0.000322391009770131 -0.000106993536056362 -2.3854879105338e-05 2.56890315251143e-05
