"V2" "V3" "V4"
"1" 599920 6744600 2919.5
"2" 599920 6744600 2942.1
"3" 599950 6744500 2896.3
"4" 599950 6744500 2907.5
"5" 599950 6744600 2911.3
"6" 599950 6744600 2926.5
"7" 599950 6744600 2947.3
"8" 599980 6744400 2915.1
"9" 599980 6744500 2911
"10" 599980 6744500 2905.9
"11" 599980 6744500 2908.8
"12" 599980 6744600 2915.3
"13" 599980 6744600 2926.7
"14" 599980 6744600 2941.7
"15" 600010 6744400 2907.1
"16" 600010 6744400 2905
"17" 600010 6744400 2909.4
"18" 600010 6744500 2907.5
"19" 600010 6744500 2905
"20" 600010 6744500 2906.1
"21" 600010 6744600 2911.2
"22" 600010 6744600 2919.5
"23" 600010 6744600 2929.4
"24" 600040 6744300 2918.8
"25" 600040 6744400 2916.4
"26" 600040 6744400 2910.3
"27" 600040 6744400 2905.3
"28" 600040 6744400 2904
"29" 600040 6744500 2901.7
"30" 600040 6744500 2899.1
"31" 600040 6744500 2898
"32" 600040 6744600 2900.7
"33" 600040 6744600 2903.8
"34" 600040 6744600 2909.5
"35" 600070 6744300 2927.3
"36" 600070 6744300 2919.3
"37" 600070 6744400 2915.2
"38" 600070 6744400 2909.7
"39" 600070 6744400 2902.8
"40" 600070 6744400 2899.2
"41" 600070 6744500 2895.6
"42" 600070 6744500 2891.4
"43" 600070 6744500 2888.3
"44" 600070 6744600 2885.7
"45" 600070 6744600 2885.2
"46" 600100 6744300 2943.1
"47" 600100 6744300 2932.6
"48" 600100 6744300 2922.5
"49" 600100 6744400 2913.7
"50" 600100 6744400 2906.4
"51" 600100 6744400 2899.5
"52" 600100 6744400 2891.5
"53" 600100 6744500 2884.6
"54" 600100 6744500 2879.9
"55" 600100 6744500 2875.1
"56" 600100 6744600 2869.4
"57" 600100 6744600 2864.7
"58" 600100 6744900 2813.4
"59" 600100 6744900 2816.4
"60" 600100 6745000 2823.1
"61" 600100 6745000 2827.9
"62" 600130 6744300 2938.6
"63" 600130 6744300 2931.8
"64" 600130 6744300 2922.2
"65" 600130 6744400 2911.4
"66" 600130 6744400 2902
"67" 600130 6744400 2892.6
"68" 600130 6744400 2883.4
"69" 600130 6744500 2873
"70" 600130 6744500 2868
"71" 600130 6744500 2861.7
"72" 600130 6744600 2853.8
"73" 600130 6744600 2846.4
"74" 600130 6744800 2812.7
"75" 600130 6744800 2806.3
"76" 600130 6744800 2801.7
"77" 600130 6744900 2798.6
"78" 600130 6744900 2797.8
"79" 600130 6744900 2799.5
"80" 600130 6745000 2802.4
"81" 600130 6745000 2806
"82" 600130 6745000 2809.8
"83" 600160 6744300 2941.8
"84" 600160 6744300 2930.5
"85" 600160 6744300 2919.7
"86" 600160 6744400 2905.4
"87" 600160 6744400 2894.7
"88" 600160 6744400 2883.7
"89" 600160 6744400 2871.7
"90" 600160 6744500 2863.9
"91" 600160 6744500 2856.4
