"V1" "V2" "V3"
"1" 599924.63 6744646.2 2942.1113
"2" 600026.83 6744640.5 2909.4502
"3" 600123.36 6744589.6 2846.3504
"4" 600174.46 6744606.6 2815.0779
"5" 600157.42 6744691.5 2810.7236
"6" 600112 6744798.9 2806.3108
"7" 600094.97 6744900.7 2813.3782
"8" 600094.97 6744985.6 2827.9242
"9" 600163.1 6745087.4 2806.3749
"10" 600231.24 6745149.6 2774.7976
"11" 600327.76 6745166.6 2701.1908
"12" 600361.71 6745252.1 2694.1411
"13" 600441.32 6745336.3 2692.0943
"14" 600520.81 6745392.8 2678.3827
"15" 600645.72 6745443.7 2664.6769
"16" 600736.57 6745500.3 2651.036
"17" 600821.73 6745522.9 2621.1934
"18" 600923.93 6745562.5 2611.9473
"19" 601009.1 6745636 2615.3784
"20" 601099.95 6745715.2 2619.5794
"21" 601116.98 6745788.7 2636.6718
"22" 601134.02 6745862.3 2621.33
"23" 601162.41 6745913.2 2634.6246
"24" 601179.44 6745952.8 2640.1512
"25" 601207.83 6746003.7 2657.3352
"26" 601258.93 6746054.6 2658.3643
"27" 601304.35 6746082.9 2653.0367
"28" 601378.16 6746133.8 2661.2657
"29" 601457.65 6746145.1 2678.9623
"30" 601548.5 6746122.4 2721.5842
"31" 601599.6 6746077.2 2720.3529
"32" 601633.67 6746048.9 2725.0155
"33" 601673.41 6745986.7 2741.9032
"34" 601701.8 6745935.8 2780.7954
"35" 601747.22 6745918.8 2815.673
"36" 601781.29 6745975.4 2842.2151
"37" 601815.36 6746026.3 2859.6816
"38" 601877.82 6745986.7 2898.6995
"39" 601923.24 6745918.8 2902.5876
"40" 601872.14 6745851 2878.2134
"41" 601798.33 6745834 2840.4172
"42" 601724.51 6745834 2788.0953
"43" 601622.31 6745817 2728.1609
"44" 601531.47 6745800.1 2663.9334
"45" 601491.72 6745743.5 2617.9943
"46" 601491.72 6745658.6 2598.3782
"47" 601542.82 6745590.8 2561.5565
"48" 601650.7 6745551.2 2552.0514
"49" 601752.9 6745477.7 2551.0285
"50" 601855.1 6745432.4 2531.1894
"51" 602053.83 6745319.3 2511.4358
"52" 602212.81 6745177.9 2497.5607
"53" 602275.27 6745098.7 2488.6868
"54" 602326.37 6745002.5 2479.3523
"55" 602383.15 6744844.2 2449.088
"56" 602422.89 6744736.7 2426.9384
"57" 602485.35 6744685.8 2420.029
"58" 602542.13 6744527.4 2396.11
"59" 602593.23 6744357.7 2362.3076
"60" 602650.01 6744233.3 2355.5023
"61" 602667.04 6744097.6 2333.5075
"62" 602678.39 6744063.6 2328.3661
"63" 602650.01 6743956.2 2317.7896
"64" 602610.26 6743826.1 2285.3648
"65" 602615.94 6743684.7 2276.9852
"66" 602655.68 6743673.4 2284.6031
"67" 602723.82 6743724.3 2326.7755
"68" 602803.31 6743809.1 2387.3322
"69" 602814.66 6743910.9 2418.3497
"70" 602922.54 6744108.9 2481.3087
"71" 602950.93 6744233.3 2537.8847
"72" 602945.25 6744346.4 2565.815
"73" 602905.51 6744420 2566.5737
"74" 602911.19 6744584 2624.7783
"75" 602933.9 6744663.2 2644.2812
"76" 602916.86 6744770.6 2658.4004
"77" 602899.83 6744793.3 2654.0719
"78" 602831.7 6744765 2623.8792
"79" 602774.92 6744810.2 2614.207
"80" 602723.82 6744889.4 2618.6165
"81" 602684.07 6744985.6 2648.7529
"82" 602672.72 6745059.1 2667.7622
"83" 602672.72 6745087.4 2667.7622
"84" 602814.66 6745245.8 2810.1915
"85" 602899.83 6745308 2836.6148
"86" 602956.61 6745274 2832.8608
"87" 602990.68 6745217.5 2825.7493
"88" 603019.07 6745132.6 2785.934
"89" 603030.42 6745093 2769.0309
"90" 603126.95 6745132.6 2776.8323
"91" 603195.08 6745098.7 2766.7779
"92" 603257.54 6744991.2 2717.014
"93" 603291.6 6744889.4 2712.5936
"94" 603302.96 6744759.3 2684.9096
"95" 603291.6 6744646.2 2653.8292
"96" 603285.93 6744584 2638.4347
"97" 603314.32 6744510.5 2607.8077
"98" 603331.35 6744397.3 2572.6111
"99" 603319.99 6744244.6 2556.5758
"100" 603285.93 6744125.8 2531.6822
"101" 603206.44 6744018.4 2494.8635
"102" 603143.98 6743950.5 2480.4345
"103" 603064.49 6743871.3 2451.8154
"104" 602956.61 6743746.9 2386.6901
"105" 602865.76 6743605.5 2337.4617
"106" 602769.24 6743492.4 2307.7217
"107" 602667.06 6743436.6 2276.5123
"108" 602657.43 6743424.5 2258.0785
"109" 602640.57 6743400.5 2258.0785
"110" 602630.94 6743381.2 2237.8589
"111" 602614.09 6743361.9 2230.0352
"112" 602602.05 6743333 2225.4687
"113" 602594.83 6743309 2217.1635
"114" 602585.2 6743284.9 2217.1635
"115" 602573.16 6743256 2212.7468
"116" 602563.53 6743229.5 2205.8951
"117" 602549.08 6743205.4 2209.0644
"118" 602546.67 6743176.5 2205.6656
"119" 602544.26 6743145.2 2202.2867
"120" 602537.04 6743116.3 2195.3421
"121" 602510.56 6743099.5 2183.5845
"122" 602491.29 6743070.6 2183.5845
"123" 602474.44 6743046.5 2174.7036
"124" 602459.99 6743017.6 2164.2316
"125" 602438.32 6742986.3 2144.943
"126" 602419.06 6742955 2132.1211
"127" 602399.8 6742911.7 2130.0093
"128" 602392.58 6742875.6 2127.0452
"129" 602392.58 6742839.5 2125.3556
"130" 602394.98 6742813 2124.7248
"131" 602404.62 6742784.1 2121.7166
"132" 602409.43 6742752.8 2117.2822
"133" 602409.43 6742714.2 2111.4228
"134" 602404.62 6742673.3 2108.898
"135" 602404.62 6742634.8 2107.2462
"136" 602404.62 6742586.6 2103.0847
"137" 602397.39 6742555.3 2099.3886
"138" 602390.17 6742519.2 2089.4504
"139" 602358.72 6742499.3 2079.7319
"140" 602324.48 6742486 2078.7683
"141" 602300.26 6742467.6 2066.706
"142" 602285.23 6742435 2066.706
"143" 602266.02 6742395.8 2049.3136
"144" 602250.98 6742360.7 2047.5025
"145" 602227.6 6742323.9 2044.6132
"146" 602206.72 6742287.2 2038.3383
"147" 602174.98 6742243.8 2033.4446
"148" 602142.41 6742210.4 2023.5753
"149" 602101.49 6742176.1 2007.8203
"150" 602060.56 6742137.7 1974.5701
"151" 602027.16 6742108.5 1976.3
"152" 601992.91 6742097.6 1950.9121
"153" 601976.21 6742101 1950.9121
"154" 601965.91 6742117.3 1969.968
"155" 601968.83 6742143.5 1969.968
"156" 601970.28 6742175.6 1989.3029
"157" 601976.11 6742209.1 1998.6686
"158" 601979.03 6742239.7 2008.554
"159" 601971.74 6742273.2 2018.9657
"160" 601965.91 6742309.6 2029.3973
"161" 601963 6742351.9 2039.1421
"162" 601964.46 6742385.4 2058.0384
"163" 601970.28 6742427.6 2065.8591
"164" 601986.31 6742461.1 2071.1034
"165" 602008.17 6742488.8 2072.2401
"166" 602027.11 6742532.5 2079.5922
"167" 602048.97 6742573.3 2084.0283
"168" 602060.62 6742614.1 2100.1722
"169" 602060.62 6742654.9 2106.6397
"170" 602057.71 6742704.5 2121.323
"171" 602050.42 6742729.2 2128.2857
"172" 602044.59 6742778.8 2132.7957
"173" 602027.11 6742812.3 2139.9191
"174" 602002.73 6742841.9 2137.4823
"175" 601923.24 6742960.7 2169.7951
