"V1" "V2" "V3" "V4"
"9033" 5.22998894967146e-05 3.34576886757696e-05 -6.19507537450046e-06 -2.77245523523748e-06
"6061" -0.000280416208459099 -0.000115811501770389 0.000154826865878048 -4.11607518255664e-05
"1142" -0.000263905875182692 -5.5082308378638e-05 4.81267725704659e-05 -1.84525616823154e-05
"3393" -4.94901872784222e-05 -2.99465748669305e-05 3.14455637738584e-05 1.57228646994582e-06
"1924" 3.32890492441874e-05 -1.73262702185269e-05 2.26884468662039e-05 -1.27345551514474e-05
"1733" 9.70579578748238e-05 0.000197126780696131 -4.71340339905116e-06 -5.45376519457692e-05
"6451" -0.000221394561672553 -6.89314729439029e-05 7.94223474639469e-05 -1.42030302022785e-05
"9024" 0.000204400723865548 -4.39337861979833e-05 -6.99335631453981e-06 -7.23272226422785e-06
"8821" -0.000112514343682197 1.55280677785831e-05 -1.11939783137001e-05 2.92581480274223e-05
"10351" -9.64465829288499e-05 2.42570378298672e-05 -1.04204712271649e-05 3.22667350129245e-05
"3882" -7.23209159787787e-05 9.56620084349457e-06 -2.57184534150788e-06 2.71668628333086e-05
"212" -0.000312563526569401 -3.40384513974487e-05 -0.000104047459421134 -9.07315869555703e-06
"11193" 0.000141459034441386 0.000233121704645528 1.011140139981e-05 -9.85656364329043e-05
"562" -0.000268202786242811 -2.65098776592876e-05 -7.21427234198992e-05 -3.57515083268106e-06
"10931" -2.57119192897704e-05 0.000106952648829164 -1.02046964821247e-05 3.89300669497464e-05
"9663" 0.000103186112226981 0.000135634248321536 -5.99354606845605e-06 -4.1500472093705e-05
"4884" 0.000122057025895222 4.46723092807435e-05 4.94985439663537e-06 -3.82815303258907e-05
"2391" -7.68382652732355e-05 0.000122240148053364 1.84327726274418e-05 9.46934370473146e-05
"6781" -0.000135157474997412 1.01085609247622e-05 -1.12391175088576e-05 2.32582580352857e-05
"6942" -4.83717228537779e-05 1.28348825439216e-05 -2.07297416387694e-06 2.2972889933044e-05
"3134" 3.68674477223349e-06 -3.79168549449848e-05 5.02263729285857e-05 -2.54836304732395e-05
"5184" 0.000120180057744159 8.88707915002784e-06 7.47484349806052e-06 -2.92454898117463e-05
"5417" 0.000307018478208125 -9.86681524596494e-05 -2.16183071765898e-05 2.26454684680064e-05
"10202" -4.20948240536786e-06 3.57989715556157e-05 -8.87429153433326e-06 1.67957547164229e-05
"1594" 0.000112885302164403 0.000109519091579614 -4.35709691477692e-06 -4.21362892036336e-05
"8761" -0.000103379087145618 2.73121320724381e-05 -1.1688671342416e-05 3.39883181548596e-05
"6253" 2.45505318708187e-05 1.7735183613713e-05 -9.44010170185553e-07 4.06611196649328e-06
"783" -0.000247363700371603 -2.1987255888487e-05 -6.02609688806478e-05 4.68849656873055e-10
"10322" -3.43122217527685e-05 4.98675832556593e-06 5.51427437561906e-06 1.68047497450078e-05
"1532" -7.28050813312997e-05 2.70631286662074e-05 -9.37343982487731e-06 3.28338712642725e-05
"10462" -7.624573802594e-05 -3.05100529750805e-05 2.99361810199112e-05 4.69070682646047e-06
"7743" 0.000120506445486888 0.000204429681046447 2.26475898518572e-06 -7.26715200302293e-05
"4902" -0.000149152113299132 -5.99246768328534e-05 7.15855418362048e-05 -8.48174337463764e-06
"8716" -4.00340506051186e-05 -5.55403795690966e-05 6.94907005451257e-05 -2.49347089353922e-05
"4716" 8.28550713382824e-05 4.93165610711314e-05 -9.39030104093859e-06 -1.40167605531881e-05
"253" -0.000306753545043585 -3.90161184235893e-05 -6.1839180156582e-05 -1.67203633428143e-05
"10323" -6.99418211188804e-05 -6.6309853623185e-05 8.57787295484875e-05 -2.58887047964197e-05
"8052" -0.000125681853189178 -5.86438190607395e-05 6.66721275998399e-05 -7.79782593098167e-06
"10616" 9.82995533163879e-05 7.81044263326717e-05 -7.62604207399264e-06 -2.65787363108639e-05
"11583" 7.19346177168838e-05 3.80618115918519e-05 -6.25252046259559e-06 -9.86603192587994e-06
"3081" -0.00022193182803098 -4.61004524191035e-05 3.93741948770062e-05 -6.23607238740645e-06
"11334" 0.000242722193531129 -6.2628991332419e-05 -1.13972359748e-05 4.8568123193553e-07
"8054" 0.000156128705545526 -1.09342481612904e-05 2.71200169441784e-06 -3.03322474391434e-05
"8143" 4.07182276595477e-05 2.41132576812076e-05 -4.148279427679e-06 3.77530809465195e-07
"10573" 0.000100453769901184 0.00011629847351919 -7.08308009646333e-06 -3.53980598074812e-05
"5315" 2.71544689485626e-07 5.6661142158867e-07 7.0628141693171e-06 5.69815943628903e-06
"290" -0.000311729190946836 -3.16037820038895e-05 -0.000112558363520183 -5.27997883440438e-06
"138" -0.000328584266330129 -4.50972984170554e-05 -6.21401339637862e-05 -2.22271052858244e-05
"4744" 0.000114209333624053 2.98406240530137e-05 4.05658346708661e-06 -2.91224726908125e-05
"6474" 0.000165095799067769 -2.41927120862769e-05 -2.1084936455733e-06 -1.59826351492833e-05
"5621" -0.000151676343233488 1.7020884558772e-06 -1.17678690574247e-05 1.7836393459888e-05
"2211" -0.000256437262050394 -6.72431289879851e-05 7.36206615751012e-05 -1.93892198433699e-05
"4454" 0.000120432606753855 6.49202770181708e-05 -2.85137683961447e-08 -4.04630518623532e-05
"2974" 6.1904350667362e-05 -4.55465886215672e-06 1.14558470398562e-05 -1.52104849102341e-05
"7901" -0.000273562110552858 -0.000117547725725154 0.000161464454551002 -4.27033047681996e-05
"809" -0.000283888628780503 -5.16926655332608e-05 3.24177451507958e-05 -2.19678837968477e-05
"1069" -0.000228434883367329 -2.20524219729134e-05 -1.82437565671808e-05 -3.12909209183521e-06
"326" -0.000296672368122298 -3.13367244850694e-05 -9.46515177046774e-05 -6.48894798804172e-06
"930" -7.77202630089102e-05 0.000171958628979132 4.2116785682623e-05 0.000145495818767939
"885" -8.8328485900655e-05 0.000157636596141811 4.46597578606517e-05 0.000153055038429705
"480" -0.000276817700927016 -2.79755025130856e-05 -7.61234380689736e-05 -5.30056489645674e-06
"7541" -0.000169373062251842 -3.09763622176136e-05 2.02924328968215e-05 5.32963553824725e-06
"10091" -0.000267564570898543 -0.000116170147471114 0.000170426689490666 -4.50916570248047e-05
"919" -0.000277785943330688 -5.27218424278809e-05 3.79925651825623e-05 -2.09369405787138e-05
"157" -0.000317852379841074 -3.85036812073251e-05 -8.87071399379466e-05 -1.46383281661431e-05
"2264" 9.87797923551216e-05 5.80407135718462e-05 -7.08203871692596e-06 -2.39509936304154e-05
"11601" -0.000243455410731987 -0.000104181006744507 0.000151369853630576 -3.5062114431373e-05
"2921" -7.75293093505662e-05 0.00011364948256351 1.66592861222581e-05 9.63204364413067e-05
"5044" 0.000119357263537133 1.30336923821638e-05 7.70657659715952e-06 -2.48809138312686e-05
"8662" -5.19248963849745e-05 -1.68353086678994e-06 5.72039796408113e-06 1.72063090500593e-05
"1744" 8.3164227660839e-05 3.08796275848756e-05 -3.28678652780421e-06 -1.42883004536927e-05
"6662" 2.48381598682259e-05 0.000108134425850347 -1.52934224738704e-05 1.28206059996075e-05
"7511" -0.000160674576144239 -2.0950110612723e-05 8.17873160876878e-06 1.06761637869021e-05
"7817" 0.000242645220734083 -6.54625186587736e-05 -1.32104014530922e-05 5.44796579979988e-06
"11492" -0.000133477838029162 -7.63491329427868e-05 0.000100189441758734 -1.99342864336922e-05
"5501" -4.90490358521124e-05 0.000125623413355127 4.26865205135335e-06 7.09635832168407e-05
"666" -0.000279012580462892 -4.0987484921328e-05 2.52589165296129e-07 -1.79608433263799e-05
"5021" -6.58689910157572e-05 0.000109656728820588 5.1567639253227e-06 6.84644061063693e-05
"10691" -0.000201051014812206 -7.73196988128804e-05 9.33808410132798e-05 -1.58445279094998e-05
"8721" -6.17354013219668e-05 7.78219867339698e-05 -9.00399055716285e-06 4.79188360463272e-05
"147" -0.000325502349445112 -3.61936736469562e-05 -0.000117585579647073 -9.34563148183229e-06
"1813" -0.000152154300946519 -4.86312133549479e-05 4.94770284805453e-05 -2.41808430593862e-06
"955" -0.000232358072692646 -2.11938507443175e-05 -3.42391558329222e-05 -1.727554708787e-06
"4854" 5.14068397580282e-05 -2.28567489148189e-05 3.69600971171563e-05 -3.10302889684849e-05
"10672" -0.000145885611461754 -8.25004786079621e-05 0.000110112986634084 -2.34412377359634e-05
"1544" 0.000118246192254199 0.000126164466561658 -2.3589054412415e-06 -5.08343820550586e-05
"11141" -9.28168062172904e-05 2.20594135069389e-05 -9.60720578496252e-06 3.19219799316065e-05
"8362" 3.17792044761473e-05 0.000103245817575157 -1.50818213705446e-05 9.16941735118317e-06
"1047" -8.28960906888624e-05 0.000150366138577555 3.6199091534187e-05 0.000132751584447552
